timestamp,open,high,low,close,volume
2018-02-02,197.3300,199.4000,195.4400,195.6400,2560556
2018-02-01,199.1200,201.7500,198.0845,199.3800,2353675
2018-01-31,197.1300,200.9600,196.7500,199.7600,2514574
2018-01-30,197.2500,197.7300,194.8900,196.9000,3034232
2018-01-29,200.1100,200.8600,197.8700,198.2300,1876216
2018-01-26,198.5000,201.5500,198.2500,201.3000,2262478
2018-01-25,198.0800,199.2440,196.0700,197.5100,2527411
2018-01-24,201.8200,202.3000,196.5200,197.7800,3202203
2018-01-23,202.2900,204.4500,199.4400,200.0900,3890118
2018-01-22,195.7000,198.0000,194.4240,197.8400,1549286
2018-01-19,196.2400,196.6300,194.6500,195.7300,2239859
2018-01-18,196.2100,196.5860,194.0600,196.2000,2402433
2018-01-17,194.0150,197.1200,192.7700,196.4900,2728339
2018-01-16,195.9200,198.2100,191.7100,192.4600,4566819
2018-01-12,189.0900,195.5000,188.9900,195.0500,4214653
2018-01-11,187.2900,188.9400,186.1850,188.9200,1574478
2018-01-10,185.2100,187.2700,185.0730,187.1100,1654105
2018-01-09,185.5700,186.9700,183.9314,186.7000,1787416
2018-01-08,184.9500,185.5990,183.8300,185.0400,2008362
2018-01-05,185.0000,185.9000,183.5400,185.3400,2257425
2018-01-04,181.9300,184.0599,181.6400,183.2200,2204879
2018-01-03,178.0000,181.8900,177.7000,181.0400,2500691
2018-01-02,175.8500,177.8000,175.2600,177.7000,2378938
2017-12-29,175.1900,176.9700,175.1000,175.2400,1786342
2017-12-28,175.9200,176.0000,174.8500,175.5500,993542
2017-12-27,174.6500,175.4400,173.9700,175.3600,1349338
2017-12-26,174.3600,175.0000,173.0300,174.4400,907462
2017-12-22,173.9900,175.1000,173.7500,175.0000,1684937
2017-12-21,174.0500,175.3200,174.0000,174.5600,2150362
2017-12-20,176.0000,176.0000,172.9200,174.2500,2661456
2017-12-19,176.0100,176.7600,174.2300,174.9700,2427837
2017-12-18,178.4200,179.1500,175.3100,176.7400,3167201
2017-12-15,179.3600,179.9800,174.3004,177.5100,8845867
2017-12-14,178.2600,178.7200,174.9800,175.0000,3953265
2017-12-13,173.5000,177.4200,173.2900,176.8300,4362111
2017-12-12,172.6900,174.1300,170.4300,172.5400,3815640
2017-12-11,173.7700,174.9800,173.2000,174.3100,2671466
2017-12-08,177.0800,177.2000,173.1700,173.5700,2042538
2017-12-07,173.4600,175.9000,172.1300,174.6100,2248735
2017-12-06,166.7900,173.9600,165.7500,173.5200,3690600
2017-12-05,167.6900,171.7800,165.6800,167.5400,4575471
2017-12-04,180.3400,180.6200,168.4300,168.4400,5902809
2017-12-01,179.5100,182.0000,177.1300,179.5200,2997390
2017-11-30,178.1400,181.6700,176.5501,181.4700,3973069
2017-11-29,183.8700,184.7300,175.3100,176.8500,4307985
2017-11-28,185.6200,186.2700,184.3700,185.4000,1624178
2017-11-27,184.8300,185.8400,184.0900,185.0000,1273931
2017-11-24,182.9600,184.7100,182.9600,184.4600,662988
2017-11-22,184.3200,184.5000,182.6200,182.9000,1456029
2017-11-21,183.7500,185.5500,182.8400,184.1500,1964849
2017-11-20,182.8000,183.4300,181.3400,182.3400,1105236
2017-11-17,182.0800,182.9100,181.1400,182.2400,1433667
2017-11-16,181.1800,182.4400,180.5800,182.3000,1822628
2017-11-15,180.9200,181.7300,179.6000,180.0800,1969294
2017-11-14,181.9800,182.1700,180.3100,181.3200,1499257
2017-11-13,180.5000,182.3200,179.7500,181.8500,1473120
2017-11-10,181.0000,182.0600,179.8300,181.7200,2063218
2017-11-09,182.8800,183.0800,179.0300,181.9200,2689531
2017-11-08,181.1900,184.4400,181.0600,184.0600,1791797
2017-11-07,181.2300,181.7800,180.1100,180.8800,2493881
2017-11-06,182.0100,182.2900,180.5400,180.8000,2011858
2017-11-03,181.7600,182.7400,179.6400,182.3000,2232061
2017-11-02,178.0200,181.4800,175.8000,180.9400,3249876
2017-11-01,176.5900,176.9400,174.7000,176.2500,1965843
2017-10-31,176.1600,176.7300,174.5200,175.1600,2587085
2017-10-30,177.0000,177.4800,174.4500,176.0300,1744646
2017-10-27,174.0200,177.5800,174.0200,177.3300,2780673
2017-10-26,172.0600,175.0200,172.0200,173.7500,2516979
2017-10-25,170.3700,173.4100,170.0400,171.8300,2719407
2017-10-24,171.4700,172.4900,170.4900,171.5800,2231407
2017-10-23,175.6800,175.8500,171.8300,172.1600,3193661
2017-10-20,171.5000,175.8700,171.3600,175.6400,5892761
2017-10-19,165.5000,172.1500,164.4200,171.7300,13318667
2017-10-18,150.3300,153.4300,149.0300,153.0000,3532432
2017-10-17,150.5200,150.9300,148.1500,150.3800,3509010
2017-10-16,151.1500,153.0700,149.2800,150.4600,3813377
2017-10-13,153.9600,154.5900,153.0600,153.9300,2475794
2017-10-12,153.7200,154.8500,153.3900,153.6100,2421053
2017-10-11,152.0900,154.0000,151.3500,153.6500,2711994
2017-10-10,152.0000,152.8600,151.3200,152.1500,2767284
2017-10-09,150.7600,151.5700,150.2500,151.5000,1455938
2017-10-06,149.9600,151.3600,149.5300,151.1200,2247288
2017-10-05,148.4900,150.4500,147.7100,150.2500,2329874
2017-10-04,148.2100,148.4600,146.6000,147.9500,2847836
2017-10-03,148.4800,148.8000,147.9900,148.6000,1778811
2017-10-02,149.7900,150.4800,147.5200,147.9400,2307621
2017-09-29,146.6900,149.2800,146.6000,149.1800,2135508
2017-09-28,146.1400,147.3200,145.3900,146.8300,1611755
2017-09-27,146.3100,147.0900,145.7500,146.4300,2832783
2017-09-26,145.5000,146.3500,143.9600,145.4000,3201699
2017-09-25,148.3900,148.7100,143.9500,144.5700,4784309
2017-09-22,148.6900,149.5000,147.8500,148.5000,2910694
2017-09-21,150.3800,151.2500,148.3000,149.3000,4847621
2017-09-20,151.9900,152.4000,149.0000,149.9600,9131679
2017-09-19,156.3000,157.0500,155.8100,156.6000,3477975
2017-09-18,155.0100,156.3000,154.3700,155.7700,2454979
2017-09-15,154.9000,155.1900,153.5600,154.4900,2953889
2017-09-14,155.3700,156.2000,154.6800,154.9500,1643153
2017-09-13,155.8800,156.7000,155.3900,156.2400,1212593
2017-09-12,156.7600,157.2200,154.9200,156.3100,1696179
